City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Assiniboia,CA,2021-05-31 20:54:34,49.6334,-105.9845,78.71,14,100,14.72,overcast clouds
1,Vila Velha,BR,2021-05-31 20:54:13,-20.3297,-40.2925,78.75,85,0,5.01,clear sky
2,Port Blair,IN,2021-05-31 20:55:18,11.6667,92.75,82.0,81,8,4.81,clear sky
3,Upernavik,GL,2021-05-31 20:47:47,72.7868,-56.1549,31.3,90,100,3.04,overcast clouds
4,Manakara,MG,2021-05-31 20:55:19,-22.1333,48.0167,69.66,93,34,6.8,light rain
5,Ushuaia,AR,2021-05-31 20:50:51,-54.8,-68.3,31.66,93,40,0.0,scattered clouds
6,Souillac,MU,2021-05-31 20:50:57,-20.5167,57.5167,71.98,83,40,8.52,scattered clouds
7,Bara,NG,2021-05-31 20:51:48,10.3744,10.7288,80.78,55,94,12.77,overcast clouds
8,Vanavara,RU,2021-05-31 20:46:37,60.34,102.2797,44.35,77,10,4.0,clear sky
9,Sosnovo-Ozerskoye,RU,2021-05-31 20:55:20,52.5249,111.5418,34.48,67,99,9.53,overcast clouds
10,Vokhma,RU,2021-05-31 20:55:20,58.9303,46.7586,42.31,63,99,3.85,light rain
11,Noumea,NC,2021-05-31 20:46:27,-22.2763,166.4572,68.0,99,100,7.47,overcast clouds
12,Albany,US,2021-05-31 20:52:18,42.6001,-73.9662,69.31,60,74,6.76,broken clouds
13,Kodiak,US,2021-05-31 20:48:34,57.79,-152.4072,47.71,87,90,8.05,light rain
14,Kapaa,US,2021-05-31 20:55:22,22.0752,-159.319,82.38,70,34,3.0,scattered clouds
15,Brandon,US,2021-05-31 20:53:14,27.9378,-82.2859,94.19,51,40,1.99,scattered clouds
16,Naron,ES,2021-05-31 20:55:23,43.5167,-8.1528,68.85,80,37,4.63,scattered clouds
17,Jining,CN,2021-05-31 20:55:23,35.405,116.5814,71.29,79,98,6.93,overcast clouds
18,Annau,TM,2021-05-31 20:55:23,37.8876,58.516,85.5,37,40,3.91,scattered clouds
19,Plettenberg Bay,ZA,2021-05-31 20:55:24,-34.0527,23.3716,55.49,75,26,8.37,scattered clouds
20,Road Town,VG,2021-05-31 20:54:57,18.4167,-64.6167,84.24,70,40,9.22,scattered clouds
21,Leningradskiy,RU,2021-05-31 20:51:09,69.3833,178.4167,32.05,88,89,13.09,overcast clouds
22,Roald,NO,2021-05-31 20:55:25,62.5833,6.1333,60.17,87,0,8.05,clear sky
23,Gaoual,GN,2021-05-31 20:55:25,11.75,-13.2,82.24,61,95,3.04,overcast clouds
24,Asau,RO,2021-05-31 20:55:26,46.4333,26.4,53.96,88,100,5.48,overcast clouds
25,Tuktoyaktuk,CA,2021-05-31 20:48:14,69.4541,-133.0374,32.0,86,90,10.36,overcast clouds
26,Agadir,MA,2021-05-31 20:55:26,30.4202,-9.5982,66.65,79,2,1.34,clear sky
27,Cabo San Lucas,MX,2021-05-31 20:51:09,22.8909,-109.9124,95.5,55,0,9.69,clear sky
28,Rikitea,PF,2021-05-31 20:55:27,-23.1203,-134.9692,74.34,65,0,14.45,clear sky
29,Atar,MR,2021-05-31 20:45:33,20.5169,-13.0499,90.45,31,99,10.74,overcast clouds
30,Devils Lake,US,2021-05-31 20:55:28,48.1128,-98.8651,75.31,24,1,11.01,clear sky
31,Port Hedland,AU,2021-05-31 20:53:55,-20.3167,118.5667,68.05,49,75,10.36,broken clouds
32,Aklavik,CA,2021-05-31 20:55:29,68.2191,-135.0107,39.92,75,75,14.97,broken clouds
33,Faanui,PF,2021-05-31 20:48:08,-16.4833,-151.75,78.48,66,32,14.54,scattered clouds
34,Fairbanks,US,2021-05-31 20:55:02,64.8378,-147.7164,69.6,43,90,4.61,overcast clouds
35,Esperance,AU,2021-05-31 20:51:09,-33.8667,121.9,57.04,78,95,22.15,overcast clouds
36,Faya,SA,2021-05-31 20:48:05,18.3851,42.4509,77.11,17,7,9.19,clear sky
