City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-05-31 13:11:36,-9.8,-139.0333,78.3,72,6,11.25
1,Busselton,AU,2021-05-31 13:10:55,-33.65,115.3333,51.08,84,100,7.07
2,Balakhninskiy,RU,2021-05-31 13:12:00,58.0106,114.2769,42.89,96,100,3.0
3,Faanui,PF,2021-05-31 13:12:03,-16.4833,-151.75,78.37,68,100,14.18
4,Tasiilaq,GL,2021-05-31 13:12:04,65.6145,-37.6368,37.56,76,13,4.21
5,Opuwo,NA,2021-05-31 13:12:04,-18.0607,13.84,81.79,13,100,9.13
6,Punta Arenas,CL,2021-05-31 13:08:36,-53.15,-70.9167,28.42,86,0,1.72
7,Shelburne,CA,2021-05-31 13:12:21,44.0787,-80.2041,58.75,41,72,6.82
8,Tolentino,IT,2021-05-31 13:12:22,43.2126,13.2901,72.55,44,2,10.22
9,Kapaa,US,2021-05-31 13:12:24,22.0752,-159.319,73.38,76,92,6.13
10,Bredasdorp,ZA,2021-05-31 13:12:25,-34.5322,20.0403,63.28,70,11,14.99
11,Havre-Saint-Pierre,CA,2021-05-31 13:11:57,50.2334,-63.5986,46.76,71,90,4.61
12,Turukhansk,RU,2021-05-31 13:12:26,65.8167,87.9833,39.65,93,100,2.64
13,Liverpool,GB,2021-05-31 13:12:28,53.4106,-2.9779,72.45,63,20,5.01
14,Rikitea,PF,2021-05-31 13:12:29,-23.1203,-134.9692,74.16,67,0,12.68
15,Vaitape,PF,2021-05-31 13:12:30,-16.5167,-151.75,78.35,68,100,14.2
16,Villa Carlos Paz,AR,2021-05-31 13:12:45,-31.4241,-64.4978,56.48,33,0,4.03
17,Forestville,US,2021-05-31 13:12:45,38.8451,-76.875,62.1,78,1,12.66
18,The Valley,AI,2021-05-31 13:12:46,18.217,-63.0578,83.1,83,75,12.66
19,Yelabuga,RU,2021-05-31 13:12:46,55.7613,52.0649,56.75,73,100,10.47
20,Hilo,US,2021-05-31 13:12:47,19.7297,-155.09,76.28,98,90,3.44
21,Grindavik,IS,2021-05-31 13:12:48,63.8424,-22.4338,48.67,81,75,21.81
22,Sambava,MG,2021-05-31 13:12:48,-14.2667,50.1667,79.97,66,1,9.93
23,Upata,VE,2021-05-31 13:12:49,8.0086,-62.3989,77.2,79,77,4.65
24,Dicabisagan,PH,2021-05-31 13:12:49,17.0818,122.4157,82.22,85,87,3.24
25,Manaus,BR,2021-05-31 13:09:40,-3.1019,-60.025,84.69,79,20,3.44
26,Castro,BR,2021-05-31 13:12:51,-24.7911,-50.0119,56.62,98,100,2.98
27,Barrow,US,2021-05-31 13:10:06,71.2906,-156.7887,28.42,80,90,17.27
28,Vila Velha,BR,2021-05-31 13:09:52,-20.3297,-40.2925,80.55,82,75,8.01
29,Ola,RU,2021-05-31 13:12:52,59.5833,151.2833,36.37,98,100,1.83
30,Arraial Do Cabo,BR,2021-05-31 13:12:53,-22.9661,-42.0278,73.26,88,75,6.91
31,Mar Del Plata,AR,2021-05-31 13:12:54,-38.0023,-57.5575,59.09,58,0,8.99
32,San Cristobal,VE,2021-05-31 13:12:55,7.7669,-72.225,75.38,69,97,5.73
33,Esperance,AU,2021-05-31 13:12:55,-33.8667,121.9,58.84,81,100,26.73
34,East London,ZA,2021-05-31 13:12:56,-33.0153,27.9116,70.65,38,100,13.8
35,Longyearbyen,SJ,2021-05-31 13:12:56,78.2186,15.6401,35.44,69,75,2.3
36,Pringsewu,ID,2021-05-31 13:12:56,-5.3582,104.9744,75.04,95,86,5.01
37,Kavaratti,IN,2021-05-31 13:12:57,10.5669,72.642,83.61,76,17,22.62
38,Ushuaia,AR,2021-05-31 13:12:57,-54.8,-68.3,28.06,86,75,6.91
39,Jamestown,US,2021-05-31 13:12:57,42.097,-79.2353,60.3,73,50,1.01
40,Puerto Escondido,MX,2021-05-31 13:12:58,15.85,-97.0667,81.45,76,100,2.28
41,Chipinge,ZW,2021-05-31 13:12:58,-20.1883,32.6236,71.08,36,100,3.78
42,Mataura,NZ,2021-05-31 13:12:59,-46.1927,168.8643,49.48,95,100,1.61
